label,chr1,x1,x2,chr2,y1,y2
0,5,25464888,25472923,5,25537355,25564849
0,5,82429197,82462438,5,82504862,82532324
0,14,63270128,63276619,14,63419496,63447151
0,14,73584218,73594184,14,73767428,73796590
0,5,64828037,64835292,5,64897695,64930415
0,5,126558312,126570767,5,126870700,126877823
0,14,76486999,76546910,14,76636860,76683116
0,14,44443062,44446125,14,44635498,44646317
0,14,60334951,60375559,14,60442092,60453653
1,14,24700000,24715000,14,24765000,24770000
0,14,42250890,42264047,14,42539551,42548684
0,5,18065150,18082041,5,18135618,18164502
0,5,13333243,13357070,5,13755528,13761647
0,14,58361791,58376826,14,58590648,58609946
0,14,67392737,67404850,14,67466747,67473728
0,5,151863461,151902840,5,152163829,152193370
0,5,14652709,14715422,5,15588649,15610240
0,5,24609602,24636801,5,24840638,24859483
0,14,59538549,59553066,14,59831333,59853674
0,14,38117317,38123520,14,38275695,38305025
0,14,69876710,69953288,14,69975694,69987067
0,5,106893993,106914586,5,107426508,107489655
0,14,92094271,92100288,14,92292670,92315859
1,14,39575000,39580000,14,39835000,39840000
0,5,16053896,16090229,5,16170020,16190695
0,5,13599659,13607964,5,13653481,13667291
0,5,86306623,86311537,5,86382269,86403715
0,5,19101290,19109433,5,19380233,19396884
0,14,101615107,101630162,14,101762210,101772373
1,5,96210000,96220000,5,96490000,96500000
0,14,28822647,28871195,14,29019053,29034360
0,14,36903925,36928460,14,37036222,37044353
1,14,23790000,23800000,14,24020000,24030000
1,14,23020000,23040000,14,23520000,23530000
0,14,104212126,104220659,14,104455873,104461802
0,14,25458616,25470148,14,25735515,25741738
0,5,163889345,163906654,5,164187333,164213001
0,5,110396498,110413436,5,110699229,110709222
0,14,88723362,88730995,14,89015162,89037596
0,14,47212548,47223777,14,47496278,47508019
0,5,37484353,37525955,5,37765424,37815721
0,14,45664418,45691181,14,45728917,45746958
0,5,124537294,124542847,5,124614211,124640301
0,14,92197590,92210631,14,92425842,92435261
0,5,10377597,10414624,5,10448244,10506425
0,5,1474224,1495237,5,1784999,1818894
0,14,79928102,79963571,14,80224193,80232484
0,5,165037125,165076310,5,165172765,165180818
0,5,53231688,53245875,5,53311628,53324179
0,5,25776214,25799231,5,26184240,26195517
0,5,118288165,118297096,5,119203054,119210745
0,14,40810329,40817895,14,40968286,40991022
0,14,41239358,41248955,14,41463436,41470701
0,14,72260347,72270211,14,72395402,72402839
0,5,174407559,174426838,5,174530913,174536286
1,5,110490000,110500000,5,111475000,111490000
1,14,23580000,23595000,14,23760000,23770000
0,5,39558904,39593660,5,40475497,40480864
0,14,23617295,23630375,14,23912633,23920848
0,14,20545293,20558962,14,20641217,20647214
1,5,131405000,131410000,5,131520000,131525000
0,5,173430985,173441246,5,174306071,174320311
0,14,41613684,41638672,14,41684180,41694371
0,5,54687660,54720050,5,55086186,55099041
0,14,98830194,98849603,14,99091017,99101618
1,5,135220000,135230000,5,135415000,135420000
0,14,37613835,37646130,14,37664848,37686745
0,14,73001998,73020890,14,73221170,73230171
0,14,95463071,95473964,14,95531419,95533438
0,5,87953841,87960236,5,88242685,88276920
0,14,20220146,20231567,14,20325294,20334117
0,5,38492820,38503653,5,38771880,38797791
0,14,102141437,102150738,14,102352101,102360912
0,5,126592170,126600339,5,127475925,127510347
0,5,13313678,13325799,5,13439417,13444426
0,14,44758702,44765623,14,44995679,45006416
0,14,94207318,94211667,14,94248921,94262104
1,5,158120000,158125000,5,158530000,158540000
0,5,151818572,151828451,5,152683441,152699672
0,5,161082956,161092071,5,161229015,161238726
0,14,47088008,47098621,14,47212548,47223777
0,14,71767396,71815787,14,72068164,72086687
0,14,71250623,71263110,14,71342721,71359116
0,14,56563392,56576998,14,56642156,56718419
0,14,96963348,96973437,14,97501587,97525154
0,5,25878454,25904883,5,26184240,26195517
0,14,45695224,45727313,14,45774794,45782897
0,14,33604226,33611331,14,33835344,33852686
0,14,41222295,41237237,14,41591621,41612438
0,5,96387660,96406130,5,96706723,96716708
0,14,99091017,99101618,14,99364018,99368345
0,14,37773474,37780527,14,37864631,37871354
0,14,33936463,33955820,14,34117716,34126131
0,5,120826678,120857761,5,120955311,120961344
0,14,92292670,92315859,14,92522405,92527592
0,5,91538710,91553633,5,91803086,91868797
0,5,130045508,130062896,5,130155905,130173281
0,5,178530459,178546103,5,178825726,178834453
0,14,97891138,97899225,14,97957945,97966434
0,14,54138947,54155813,14,54272167,54284302
0,5,34442937,34460794,5,35424650,35429089
0,14,105742656,105793464,14,105893822,105902705
0,14,85673843,85689041,14,85724818,85748944
0,5,168968661,168988396,5,169068378,169088727
0,5,40626192,40638307,5,41688757,41713443
0,5,158189945,158208643,5,158335723,158360269
0,14,101941644,101955310,14,102221677,102250965
0,14,87392162,87435927,14,87541513,87589410
0,5,161741173,161755780,5,162105525,162117988
0,5,116599598,116617125,5,117498423,117508656
0,5,112522994,112556252,5,112591502,112610718
0,14,65738796,65782757,14,65964289,65972300
1,5,135220000,135230000,5,135545000,135550000
0,14,24390504,24408775,14,24443585,24449526
0,5,42502583,42519820,5,42595908,42601553
0,14,29753898,29807117,14,29974595,30099875
0,5,163653583,163686659,5,163742372,163757651
0,5,122023318,122044991,5,122250794,122272277
1,14,77920000,77930000,14,78010000,78020000
0,14,36533832,36565297,14,36765101,36772414
0,14,75195445,75215317,14,75464657,75474082
0,14,32242664,32250543,14,32450600,32491712
0,14,31664922,31669357,14,31841554,31860654
0,5,80937000,80948601,5,81534510,81547237
1,14,24800000,24805000,14,24900000,24910000
0,5,5124533,5135574,5,5209914,5218651
0,14,74511776,74567764,14,74749309,74774566
1,14,61440000,61450000,14,61710000,61730000
0,5,92238241,92241736,5,93261209,93269000
0,14,89015162,89037596,14,89148194,89224760
1,14,23020000,23040000,14,23360000,23380000
0,14,57324389,57336132,14,57582757,57604630
0,14,68622957,68634106,14,68691318,68727158
0,5,26462007,26475336,5,26661004,26687233
1,5,33990000,34000000,5,34900000,34910000
1,5,130760000,130765000,5,131340000,131350000
0,5,119620655,119628274,5,119778303,119825640
0,14,63450023,63467082,14,63522407,63526966
0,14,105874878,105892599,14,106399016,106415838
0,14,82167688,82180653,14,82364130,82373841
0,5,11799918,11822453,5,12465322,12475535
1,5,86180000,86185000,5,86260000,86265000
0,5,174705682,174726573,5,174914055,174922390
0,14,104128806,104205320,14,104433623,104439226
1,14,20930000,20940000,14,21150000,21170000
0,14,43314348,43334333,14,43559765,43612948
0,14,95268174,95294200,14,95355810,95361489
1,5,60455000,60460000,5,60625000,60640000
0,5,37023232,37031369,5,37244656,37253191
0,14,31841554,31860654,14,31950732,31958175
0,5,136529392,136546808,5,136644110,136662711
0,14,83866553,83873898,14,84009515,84022514
0,14,101028358,101048155,14,101127346,101163057
